Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 10:22:18.540076-03:00,0802270-71.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),THAMIRES OLIVEIRA NASCIMENTO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 10:24:49.582555-03:00,0802273-26.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 10:38:59.559359-03:00,0802277-63.2026.8.14.0006,AÇÃO DE ALIMENTOS DE INFÂNCIA E JUVENTUDE (1389),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 10:59:18.793413-03:00,0802596-31.2026.8.14.0006,GUARDA DE INFÂNCIA E JUVENTUDE (1420),ANA CLAUDIA DA SILVA CABRAL
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 11:01:12.573840-03:00,0802299-24.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 11:09:20.762835-03:00,0802281-03.2026.8.14.0006,AÇÃO DE ALIMENTOS DE INFÂNCIA E JUVENTUDE (1389),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 11:19:08.623519-03:00,0802289-77.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),SILVANE BRITO LOPES
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 11:20:45.079528-03:00,0802291-47.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAMIRES OLIVEIRA NASCIMENTO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 11:20:56.899695-03:00,0802292-32.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:00:05.290690-03:00,0802297-54.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:02:34.865492-03:00,0802295-84.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:04:37.740358-03:00,0802565-11.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),ANA CLAUDIA DA SILVA CABRAL
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:09:28.746581-03:00,0802300-09.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),THAMIRES OLIVEIRA NASCIMENTO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:31:14.029224-03:00,0802310-53.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),THAÍSSA GOMES DOS SANTOS DRAGO
