Mes_Ano,Defensores,Categoria,Acao,Quantidade,Sistema
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",2,SCPJ
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Parentesco (Investigação, anulação, negatória etc.) (SCPJ)",1,SCPJ
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Cumprimento de sentença e Execuções (SCPJ),2,SCPJ
04/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Outros(as) (SCPJ),58,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Divórcio (SCPJ),30,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",23,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",3,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Cumprimento de sentença e Execuções (SCPJ),2,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Outros(as) (SCPJ),27,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Registro Extemporâneo Nascimento/Óbito (SCPJ),21,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Retificação em registro civil (SCPJ),19,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Direito da personalidade (Tutela, Curatela, Tomada de Decisão Apoiada etc.) (SCPJ)",1,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Alvará Judicial (SCPJ),4,SCPJ
08/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Interdição (SCPJ),6,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Registro Extemporâneo Nascimento/Óbito (SCPJ),14,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Retificação em registro civil (SCPJ),15,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Direito da personalidade (Tutela, Curatela, Tomada de Decisão Apoiada etc.) (SCPJ)",4,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Alvará Judicial (SCPJ),3,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Interdição (SCPJ),9,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Outros(as) (SCPJ),7,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,Divórcio (SCPJ),8,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",10,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",3,SCPJ
07/2026,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,FAMÍLIA,"Regulamentação de Visita (constituição, revisão, exoneração etc.) (SCPJ)",2,SCPJ
